match_number,group,home_team,away_team,venue,datetime_local,timezone,datetime_utc
1,A,Al Ahly,Inter Miami,"Hard Rock,Miami",2025-06-14 20:00:00,America/New_York,2025-06-15 00:00:00+00:00
2,C,Bayern Munich,Auckland City,"TQL, Cincinnati",2025-06-15 12:00:00,America/New_York,2025-06-15 16:00:00+00:00
3,B,Paris Saint-Germain,Atletico Madrid,"Rose Bowl, LA",2025-06-15 15:00:00,America/Los_Angeles,2025-06-15 22:00:00+00:00
4,A,Palmeiras,Porto,"MetLife, NJ",2025-06-15 18:00:00,America/New_York,2025-06-15 22:00:00+00:00
5,B,Botafogo,Seattle Sounders,"Lumen, Seattle",2025-06-15 22:00:00,America/Los_Angeles,2025-06-16 05:00:00+00:00
6,D,Chelsea,Los Angeles,"Mercedes-Benz, Atl",2025-06-16 15:00:00,America/New_York,2025-06-16 19:00:00+00:00
7,C,Boca Juniors,Benfica,"Hard Rock,Miami",2025-06-16 18:00:00,America/New_York,2025-06-16 22:00:00+00:00
8,D,Flamengo,Espérance Sportive de Tunis,"Lincoln Financial, Phi",2025-06-16 21:00:00,America/New_York,2025-06-17 01:00:00+00:00
9,F,Fluminense,Borussia Dortmund,"MetLife, NJ",2025-06-17 12:00:00,America/New_York,2025-06-17 16:00:00+00:00
10,E,River Plate,Urawa Red Diamonds,"Lumen, Seattle",2025-06-17 15:00:00,America/Los_Angeles,2025-06-17 22:00:00+00:00
11,F,Ulsan HD,Mamelodi Sundowns,"Inter&Co, Orl",2025-06-17 18:00:00,America/New_York,2025-06-17 22:00:00+00:00
12,E,Monterrey,Internazionale,"Rose Bowl, LA",2025-06-17 21:00:00,America/Los_Angeles,2025-06-18 04:00:00+00:00
13,G,Manchester City,Wydad AC,"Lincoln Financial, Phi",2025-06-18 12:00:00,America/New_York,2025-06-18 16:00:00+00:00
14,H,Real Madrid,Al Hilal,"Hard Rock,Miami",2025-06-18 15:00:00,America/New_York,2025-06-18 19:00:00+00:00
15,H,Pachuca,Salzburg,"TQL, Cincinnati",2025-06-18 18:00:00,America/New_York,2025-06-18 22:00:00+00:00
16,G,Al Ain,Juventus,"Audi, Washington",2025-06-18 21:00:00,America/New_York,2025-06-19 01:00:00+00:00
